,,,,,,CO2 (MtCO2) proximity mileage brackets (to top 20),,,,,,,,,,,,,,,,,,,,,
Key,Country,Group,Year,Ave Temperature,CO2 (MtCO2),1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,Population,GDP-USD (M US$ (2010)),Smoking Rate,Fertility Rate,Electricity production from Fossil Fuel,Electricity from Nuclear,Govt spend on education as % of GDP,Forest area (sq km),Passenger Road Transport M per km
1960Honduras,Honduras,Rest,1960,24.902,0.6156,0.6156,2912.3927,0,235.8554,0,1778.1539,199.6037,1238.8286,819.9849,208.6135,21.3904,0,0,2038637,1426.700788,,7.458,,,,,
1960Hungary,Hungary,Rest,1960,10.24091667,45.331,1456.0736,583.8218,27.3591,1012.0563,969.619,3201.0023,122.0918,0,88.1302,0,0,0,0,9983967,,,2.02,,,,,
1960Iceland,Iceland,Rest,1960,2.571333333,1.2164,585.0382,1284.668,315.606,3776.9474,834.465,411.9362,97.8581,21.3904,0,88.1302,0,0,0,175574,,,4.29,4.537205082,,,,
1960India,India,Top20,1960,24.28716667,120.4833,120.4833,804.772,40.8719,1336.3056,1866.2841,97.8581,0,189.5314,2858.0153,100.7014,0,0,0,449480608,,,5.906,,,,,
1960Indonesia,Indonesia,Top20,1960,26.02916667,21.3904,21.3904,0,1233.83,0,918.9321,16.8068,1220.7971,854.8186,189.5314,2912.3927,0,46.324,0,87792515,8504.063017,,5.666,,,,,
1960Iraq,Iraq,Rest,1960,22.7275,8.2587,52.4246,308.8715,1789.3694,1671.6606,110.3963,253.9811,3047.5467,188.8316,0,0,0,0,0,7289761,,,6.252,,,,,
1960Ireland,Ireland,Rest,1960,9.673416667,11.1752,1680.0613,308.8715,16.8068,1108.4635,2978.4986,1125.9179,97.8581,21.3904,0,88.1302,0,0,0,2828600,3651.56805,,3.78,58.79752431,,,,
1960Israel,Israel,Rest,1960,20.72316667,6.4633,25.9448,1147.6234,975.3019,1671.6606,97.8581,456.0507,2904.3393,142.5076,0,0,0,0,0,2114020,872.7547616,,3.866,,,,,
1960Italy,Italy,Top20,1960,13.07283333,109.2678,1393.9358,600.6286,27.3591,891.573,1090.1023,3014.7356,308.3585,0,88.1302,0,0,0,0,50199700,11490.47465,,2.37,14.32755849,,,,
1960Jamaica,Jamaica,Rest,1960,26.46391667,1.4693,1.4693,2912.3927,46.324,189.5314,854.8186,1122.939,908.3798,125.2172,1025.2165,120.4833,88.1302,21.3904,0,1628252,,,5.419,,,,,
1960Japan,Japan,Top20,1960,12.59983333,232.5907,245.1289,780.0876,912.9634,120.4833,112.8146,1806.5059,3292.6573,0,97.8581,0,46.324,0,0,92500572,,,2.001,49.35064935,,,,
1960Jordan,Jordan,Rest,1960,20.47058333,0.7438,20.2253,1147.6234,975.3019,1671.6606,97.8581,266.5193,3093.8707,142.5076,0,0,0,0,0,932257,678.8841396,,7.687,,,,,
1960Kazakhstan,Kazakhstan,Rest,1960,4.318833333,105.2839,105.2839,933.0642,2881.0032,245.1289,21.3904,189.5314,3044.0036,54.3774,46.324,0,0,0,0,9714260,,,4.562,,,,,
1960Kenya,Kenya,Rest,1960,24.09575,2.4292,2.4292,2.6747,139.3493,1514.4191,1363.9094,912.9634,379.5831,0,3047.5467,54.3774,0,0,0,8105440,140724.8561,,7.946,,,,,
1960Kiribati,Kiribati,Rest,1960,26.73475,,,0,0,54.3774,3368.2676,12.5382,1693.051,46.324,1988.9731,150.759,100.5328,0,0,41233,,,6.788,,,,,
1960Kuwait,Kuwait,Rest,1960,25.69675,7.797,51.9629,0,1514.4191,2255.4824,131.7867,232.5907,277.6616,2904.3393,54.3774,0,0,0,0,269618,,,7.244,,,,,
1960Latvia,Latvia,Rest,1960,5.492583333,6.6122,1020.2834,980.8932,918.9321,900.5709,434.6603,2858.0153,219.9499,0,88.1302,0,0,0,0,2120979,,,1.94,,,,,
1960Lebanon,Lebanon,Rest,1960,18.83733333,2.5758,22.0573,1418.6202,704.3051,1671.6606,110.3963,443.5125,2904.3393,142.5076,0,0,0,0,0,1804926,,,5.739,,,,,
1960Lesotho,Lesotho,Rest,1960,13.8995,,97.8581,0,0,2.6747,161.9745,1461.6502,1452.0396,904.1112,232.5907,3101.9241,0,0,0,851591,,,5.839,,,,,
1960Liberia,Liberia,Rest,1960,25.6165,0.1649,0.1649,0,380.2646,1761.1566,24.6844,2978.4986,1135.4818,780.0876,266.5193,88.1302,0,0,0,1120313,,,6.406,,,,,
1960Libya,Libya,Rest,1960,23.13466667,0.6925,0.6925,1413.4173,608.5062,218.3414,891.573,1015.943,3124.5346,54.3774,88.1302,0,0,0,0,1448417,2687.564645,,7.202,,,,,
1960Liechtenstein,Liechtenstein,Rest,1960,4.967916667,,1977.7576,16.8068,27.3591,891.573,1090.1023,3301.7037,21.3904,0,0,88.1302,0,0,0,16495,187858.5665,,,,,,,
