,CO2,CO2prox1000,CO2prox2000,CO2prox3000,CO2prox4000,CO2prox5000,CO2prox6000,CO2prox7000,CO2prox8000,CO2prox9000,CO2prox10000,CO2prox11000,CO2prox12000,CO2prox13000,Population,GDP,FertilityRate,ElecFossi,ElecNuclear,ForestArea
89,0.4727,0.4727,0.0,767.8760000000001,2618.6058,180.2292,5411.2905,2905.3894,2180.5838,1480.8491,263.6924,0.0,0.0,0.0,2097232,3119.971218,6.499,100.0,0.0,49290.0
90,36.3107,36.3107,2383.894,735.2635,812.5494,2207.2066,2809.8785,6327.3014,268.7304,263.6924,0.0,0.0,0.0,0.0,4436661,81800.0909,4.966,100.0,0.0,2170.0
91,33.1265,2633.0391,139.3653,346.7531,2207.2066,3174.8744,6893.8461,149.7392,0.0,0.0,263.6924,0.0,0.0,0.0,28747,4073.912797,2.03,38.44393593,0.0,65.0
92,33.1265,1343.2553,1462.2756,2553.9597,2745.422,677.9069,6176.8189,618.3119,0.0,263.6924,0.0,0.0,0.0,0.0,3697838,4259.391258,2.03,38.44393593,59.96479493,19450.0
93,11.0551,2644.0942,139.3653,346.7531,2207.2066,8021.3267,2047.3938,0.0,149.7392,0.0,263.6924,0.0,0.0,0.0,381850,2067.2317350000003,1.6,83.33333333,0.0,870.0
94,8.9899,1867.7062,1260.4412,0.0,2772.0448,2428.295,6607.0146,618.3119,0.0,263.6924,0.0,0.0,0.0,0.0,1996228,3925.7860630000005,2.206,91.47273359,0.0,9120.0
95,0.9490000000000001,0.9490000000000001,247.7112,166.5239,745.0674,698.3267,4668.0931,2655.5034,1082.6554,0.0,5275.9047,268.7304,0.0,0.0,11598633,619521.5668,6.178999999999999,82.66857838,0.0,136920.0
96,0.7438,0.7438,247.7112,166.5239,884.4327,2078.0048,3085.1996,2719.3535,1082.6554,5275.9047,268.7304,0.0,0.0,0.0,9437553,3846.754164,6.922000000000001,82.66857838,0.0,38960.0
97,55.8583,205.5975,564.8382,2692.7307,3470.0912,305.8892,1007.9922,1872.7581,429.4524,0.0,5115.1827,199.8423,0.0,0.0,18038321,3846.754164,3.554,82.66857838,0.0,223760.0
98,0.4214,0.4214,409.2222,2363.1822,794.3066,0.0,8047.9495,2449.3142,1331.1099,149.7392,263.6924,0.0,0.0,0.0,8465188,43185.38508,7.165,100.0,0.0,66900.0
99,2.31,770.186,2004.5284,346.7531,564.8382,4635.5016,5724.2015,1501.125,0.0,263.6924,0.0,0.0,0.0,0.0,354170,43185.38508,2.04,100.0,0.0,3.5
100,0.905,0.905,767.8760000000001,2004.5284,366.3662,427.9404,8316.6799,2180.5838,248.4545,1232.3946,0.0,263.6924,0.0,0.0,2030140,2290.662466,6.04,68.84615385,0.0,4150.0
101,1.16,1.16,0.0,247.7112,911.5913,2733.3807,2078.0048,4093.3508,199.8423,0.0,429.4524,4846.4523,268.7304,0.0,1058775,4964.658201,2.32,68.84615385,0.0,411.0
102,268.7304,268.7304,4846.4523,429.4524,0.0,199.8423,1872.7581,4050.143,2568.4036,610.4455,962.2886,0.0,0.0,0.0,85357874,6697.408396,3.47,72.77122163,2.535459309,697600.0
103,30.7054,1889.4217,1260.4412,0.0,4952.6286,677.9069,6176.8189,618.3119,0.0,263.6924,0.0,0.0,0.0,0.0,3696000,530528.9072,2.414,98.41563405,0.0,3190.0
